Timestamp,What is your Rice Purity Test Score?,What is your sexuality?,What is your sex?,What gender do you identify with?,Are you transgender?,What is your age?,How would you define yourself politically?,Would you consider yourself religious?,How concerned are you about climate change?,Select the drugs below you think should be decriminalized:,Do you think the police service funding should be:,How many times a week do you masturbate?,How often do you have sex in a month?,"Would you consider yourself ""sexually free""?",Would you describe yourself as a kinky person?,Do you think your parents be disappointed in you if they knew the details of your sex life?,How scared are you of catching STDs/STIs?,How scared are you of having/causing an unwanted pregnancy?,What is the highest education level you have completed OR are currently pursuing?,How many years have you lived apart from your parents?,What is your annual income?,Would you say you are a(n):,Would you consider yourself a healthy person?
11/15/2020 18:59:14,41,Heterosexual,Female,Female,,28,Liberal,No,Decently concerned,Marijuana,Lessened,2 - 4,3 - 8 times,Maybe,No,I don't know,Not at all scared,Not at all scared,Associate's Degree (2 year),6 - 10,"$80,001 - $120,000",Introvert,No
11/15/2020 19:07:41,92,Heterosexual,Male,Male,,18,Centrist,No,Decently concerned,Heroin & Other hard drugs,Left the way it is,2 - 4,I have never had sex,Maybe,No,I don't know,Not at all scared,Not at all scared,Bachelor's Degree (4 year),0 (I have never lived apart from my parents),"$0 - $10,000",Introvert,Yes
11/15/2020 19:07:41,89,Heterosexual,Male,Male,,24,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,2 - 4,I have never had sex,No,No,I don't know,Somewhat scared,Decently scared,Bachelor's Degree (4 year),1 - 2,"$50,001 - $80,000",Introvert,No
11/15/2020 19:10:08,40,Heterosexual,Female,Female,,24,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,2 - 4,3 - 8 times,Maybe,No,Yes,Not at all scared,Somewhat scared,Associate's Degree (2 year),6 - 10,"$30,001 - $50,000",Introvert,Yes
11/15/2020 19:10:30,88,Asexual,Male,Male,,20,Liberal,No,Very concerned,Marijuana,Lessened,7 - 10,I have never had sex,Maybe,No,I don't know,Not at all scared,Not at all scared,Bachelor's Degree (4 year),0 (I have never lived apart from my parents),"$0 - $10,000",Introvert,Maybe
11/15/2020 19:11:48,45,Heterosexual,Male,Male,,32,Centrist,No,Decently concerned,"Marijuana, Psychedelics",Lessened,7 - 10,3 - 8 times,No,No,No,Not at all scared,Not at all scared,Doctoral Degree,6 - 10,"$120,001 - $160,000",Ambivert ,Maybe
11/15/2020 19:14:44,39,Bisexual,Prefer not to say,Male,,53,Liberal,No,Very concerned,Marijuana,Left the way it is,5 - 7,1 - 2 times,Maybe,No,No,A little scared,Not Applicable,High School / GED Equivalent,10+,"$30,001 - $50,000",Introvert,Yes
11/15/2020 19:15:48,43,Homosexual,Female,Female,,26,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,2 - 4,1 - 2 times,Yes,No,No,Not at all scared,Not at all scared,Doctoral Degree,3 - 5,"$80,001 - $120,000",Introvert,Yes
11/15/2020 19:16:53,55,Questioning,Male,Female,,23,Communist,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Abolished,0,1 - 2 times,Yes,Yes,Yes,Somewhat scared,Not at all scared,High School / GED Equivalent,0 (I have never lived apart from my parents),"$10,001 - $30,000",Introvert,No
11/15/2020 19:17:40,78,Bisexual,Female,Non-binary,,20,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,5 - 7,I have never had sex,No,Yes,No,Not at all scared,Not at all scared,Bachelor's Degree (4 year),3 - 5,"$0 - $10,000",Introvert,Yes
11/15/2020 19:24:01,52,Bisexual,Male,"Male, questioning",,18,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,5 - 7,1 - 2 times,No,No,No,A little scared,Decently scared,High School / GED Equivalent,0 (I have never lived apart from my parents),"$0 - $10,000",Introvert,Yes
11/15/2020 19:26:02,31,Heterosexual,Female,Female,,43,Liberal,No,Very concerned,"Marijuana, Psychedelics",Lessened,2 - 4,9 - 15 times,Maybe,No,Yes,A little scared,Not at all scared,Master's Degree,10+,"$120,001 - $160,000",Introvert,Yes
11/15/2020 19:27:25,88,Heterosexual,Female,Female,,21,Liberal,Maybe,Somewhat concerned,"Marijuana, Psychedelics",Lessened,2 - 4,I have never had sex,Maybe,Yes,Yes,Decently scared,Decently scared,Bachelor's Degree (4 year),0 (I have never lived apart from my parents),"$0 - $10,000",Introvert,Yes
11/15/2020 19:27:42,47,Heterosexual,Male,Male,,35,Liberal,Yes,Decently concerned,Marijuana,Lessened,2 - 4,1 - 2 times,No,Yes,I don't know,Not at all scared,Somewhat scared,Associate's Degree (2 year),10+,"$50,001 - $80,000",Introvert,No
11/15/2020 19:29:28,90,Heterosexual,Male,Male,,45,Centrist,No,A little concerned,"Marijuana, Psychedelics",Increased,10+,3 - 8 times,Yes,Yes,I don't know,Somewhat scared,A little scared,Bachelor's Degree (4 year),10+,"$160,001+",Introvert,Maybe
11/15/2020 19:30:13,90,Heterosexual,Male,Male,,22,Centrist,No,Somewhat concerned,Marijuana,Left the way it is,2 - 4,I have never had sex,Maybe,No,No,Not at all scared,Not at all scared,Master's Degree,3 - 5,"$0 - $10,000",Introvert,Yes
11/15/2020 19:30:16,60,Homosexual,Female,Female,,27,Liberal,No,Decently concerned,Marijuana,Lessened,1,1 - 2 times,Maybe,No,No,Not at all scared,Not at all scared,Master's Degree,3 - 5,"$50,001 - $80,000",Introvert,Yes
11/15/2020 19:31:41,48,Heterosexual,Female,Female,,26,Liberal,No,Very concerned,"Marijuana, Psychedelics",Lessened,1,1 - 2 times,No,No,I don't know,Not at all scared,A little scared,Master's Degree,6 - 10,"$30,001 - $50,000",Introvert,Yes
11/15/2020 19:35:24,67,asexual,Female,Female,,31,Liberal,Yes,Decently concerned,Marijuana,Lessened,0,I have never had sex,Maybe,Yes,I don't know,Not at all scared,Not at all scared,Master's Degree,6 - 10,"$30,001 - $50,000",Introvert,Maybe
11/15/2020 19:43:22,35,Bisexual,Female,Non-binary,,29,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,5 - 7,15 - 25 times,Yes,Yes,Yes,Not at all scared,Somewhat scared,Bachelor's Degree (4 year),10+,"$80,001 - $120,000",Introvert,Maybe
11/15/2020 19:44:52,45,Bisexual,Female,Female,,25,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,5 - 7,9 - 15 times,Maybe,Yes,No,Not at all scared,Absolutely terrified,Bachelor's Degree (4 year),0 (I have never lived apart from my parents),"$30,001 - $50,000",Introvert,No
11/15/2020 19:45:01,25,Heterosexual,Male,Male,,20,Conservative,No,Somewhat concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Left the way it is,10+,15 - 25 times,Yes,No,I don't know,Somewhat scared,Somewhat scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Extrovert,Maybe
11/15/2020 19:48:42,45,Bisexual,Female,Female,,21,Liberal,No,Decently concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,5 - 7,9 - 15 times,Yes,Yes,No,A little scared,A little scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Extrovert,Yes
11/15/2020 19:52:40,44,Bisexual,Female,Non-binary,,28,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Abolished,1,I have never had sex,Yes,Yes,I don't know,Somewhat scared,Decently scared,Master's Degree,6 - 10,"$50,001 - $80,000",Introvert,Maybe
11/15/2020 19:52:57,38,Homosexual,Female,Female,,40,Conservative,No,Somewhat concerned,Marijuana,Left the way it is,1,9 - 15 times,Yes,Yes,No,Decently scared,Not at all scared,Doctoral Degree,10+,"$160,001+",Introvert,Yes
11/15/2020 19:54:02,52,Pansexual,Female,Non-binary,,19,Liberal,No,Decently concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Highly increased,5 - 7,1 - 2 times,No,No,Yes,Not at all scared,Very scared,Bachelor's Degree (4 year),0 (I have never lived apart from my parents),"$0 - $10,000",Ambivert,Maybe
11/15/2020 19:54:39,89,Heterosexual,Male,Male,,25,Liberal,No,Decently concerned,"Marijuana, Psychedelics",Left the way it is,5 - 7,I have never had sex,Maybe,Yes,Yes,Somewhat scared,Decently scared,Bachelor's Degree (4 year),3 - 5,"$50,001 - $80,000",Introvert,No
11/15/2020 20:05:47,86,Heterosexual,Male,Male,,23,Centrist,Maybe,Decently concerned,"Marijuana, Psychedelics",Left the way it is,7 - 10,I have never had sex,Maybe,No,I don't know,Decently scared,Decently scared,Bachelor's Degree (4 year),0 (I have never lived apart from my parents),"$50,001 - $80,000",Introvert,Maybe
11/15/2020 20:07:14,77,Homosexual,Female,Female,,18,Liberal,No,Very concerned,"Marijuana, Psychedelics",Lessened,2 - 4,I have never had sex,Yes,Yes,Yes,A little scared,Not Applicable,High School / GED Equivalent,0 (I have never lived apart from my parents),"$50,001 - $80,000",Introvert,Yes
11/15/2020 20:10:06,53,Heterosexual,Transgender male 3 months testosterone pre op,Male,,18,Left leaning,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,5 - 7,3 - 8 times,Maybe,No,No,Decently scared,Not at all scared,Bachelor's Degree (4 year),0 (I have never lived apart from my parents),"$10,001 - $30,000",Introvert,Maybe
11/15/2020 20:11:00,94,Asexual (but heteromantic),Female,Female,,18,Centrist,No,A little concerned,"Marijuana, Psychedelics",Left the way it is,2 - 4,I have never had sex,No,Yes,No,Not at all scared,Not at all scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Extrovert,No
11/15/2020 20:11:00,38,Bisexual,Female,Female,,24,Liberal,Yes,Decently concerned,"Marijuana, Psychedelics",Lessened,1,3 - 8 times,Yes,Yes,Yes,Not at all scared,Absolutely terrified,Master's Degree,6 - 10,"$10,001 - $30,000",Ambivert,Maybe
11/15/2020 20:14:33,16,Bisexual,Female,Female,,47,Liberal,No,Very concerned,"Marijuana, Psychedelics",Lessened,0,1 - 2 times,Yes,Yes,Yes,Not at all scared,Not at all scared,Associate's Degree (2 year),10+,"$50,001 - $80,000",Introvert,Maybe
11/15/2020 20:14:46,53,Heterosexual,Female,Female,,20,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Increased,2 - 4,1 - 2 times,No,No,Yes,Not at all scared,A little scared,Bachelor's Degree (4 year),0 (I have never lived apart from my parents),"$0 - $10,000",Introvert,Maybe
11/15/2020 20:15:14,22,Bisexual,Female,Female,,26,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,5 - 7,1 - 2 times,Yes,No,No,Not at all scared,Not at all scared,some college no degree,6 - 10,"$10,001 - $30,000",Introvert,Yes
11/15/2020 20:17:00,96,Homosexual,Prefer not to say,Non-binary,,20,leftist,No,Decently concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Abolished,0,I have never had sex,Maybe,No,No,Somewhat scared,A little scared,Bachelor's Degree (4 year),0 (I have never lived apart from my parents),"$0 - $10,000",idk,Maybe
11/15/2020 20:19:38,49,Heterosexual,Male,Male,,19,Socialist,Yes,Decently concerned,Marijuana,Increased,10+,3 - 8 times,Maybe,No,No,Decently scared,Very scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,Yes
11/15/2020 20:21:11,31,Heterosexual,Male,Male,,28,Liberal,No,Decently concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,5 - 7,3 - 8 times,Maybe,Yes,I don't know,A little scared,Decently scared,Bachelor's Degree (4 year),10+,"$80,001 - $120,000",Introvert,No
11/15/2020 20:21:43,20,Bisexual,Male,Male,,22,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,7 - 10,1 - 2 times,Yes,Yes,Yes,A little scared,Not at all scared,Bachelor's Degree (4 year),0 (I have never lived apart from my parents),"$0 - $10,000",Introvert,Maybe
11/15/2020 20:23:38,97,Heterosexual,Male,Male,,20,Centrist,No,Very concerned,Marijuana,Increased,5 - 7,I have never had sex,Maybe,No,I don't know,Not at all scared,Not at all scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,No
11/15/2020 20:24:13,44,Heterosexual,Male,Male,,19,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,5 - 7,15 - 25 times,Yes,No,No,Somewhat scared,Decently scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",like half and half,Yes
11/15/2020 20:25:54,29,Bisexual,Female,Female,,28,Liberal,No,Very concerned,"Marijuana, Psychedelics",Lessened,1,3 - 8 times,Yes,Yes,Yes,Decently scared,Very scared,"Dropped out of college with 2 years to go (after trying for 4 years), 6 years ago",1 - 2,"$10,001 - $30,000",Introvert,Yes
11/15/2020 20:29:09,78,Heterosexual,Male,Male,,16,Third position ,Yes,Very concerned,"Marijuana, Psychedelics",Increased,5 - 7,I have never had sex,No,Yes,Yes,Absolutely terrified,Somewhat scared,High School / GED Equivalent,0 (I have never lived apart from my parents),"$0 - $10,000",Introvert,Yes
11/15/2020 20:32:12,95,Asexual ,Female,Non-binary,,21,Liberal,No,Very concerned,Marijuana,Lessened,1,I have never had sex,No,Yes,I don't know,Absolutely terrified,Absolutely terrified,Bachelor's Degree (4 year),0 (I have never lived apart from my parents),"$0 - $10,000",Introvert,No
11/15/2020 20:33:16,68,Heterosexual,Female,Female,,20,Liberal,No,Decently concerned,"Marijuana, Psychedelics",Lessened,1,I have never had sex,No,No,No,Decently scared,Very scared,Bachelor's Degree (4 year),3 - 5,"$0 - $10,000",Introvert,Maybe
11/15/2020 20:35:00,35,Heterosexual,Male,Male,,34,leftist,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,5 - 7,3 - 8 times,No,No,No,Not at all scared,Somewhat scared,Doctoral Degree,10+,"$30,001 - $50,000",Extrovert,No
11/15/2020 20:35:22,22,Heterosexual,Female,Female,,40,Labor,No,Decently concerned,Marijuana,Left the way it is,1,1 - 2 times,Yes,Yes,No,Not at all scared,Not at all scared,Bachelor's Degree (4 year),10+,"$80,001 - $120,000",Extrovert,Yes
11/15/2020 20:36:45,42,Heterosexual,Female,Female,,36,Liberal,No,Somewhat concerned,Marijuana,Lessened,0,3 - 8 times,Maybe,No,Yes,A little scared,A little scared,Bachelor's Degree (4 year),6 - 10,"$10,001 - $30,000",Introvert,No
11/15/2020 20:39:26,89,Heterosexual,Male,Male,,20,Centrist,Maybe,Somewhat concerned,Marijuana,Increased,2 - 4,I have never had sex,Maybe,No,Yes,A little scared,Not Applicable,Bachelor's Degree (4 year),1 - 2,"$30,001 - $50,000",Introvert,Yes
11/15/2020 20:41:07,27,Heterosexual,Female,Female,,36,Liberal,Maybe,Very concerned,"Marijuana, Psychedelics",Lessened,0,3 - 8 times,Yes,Yes,Yes,A little scared,Not at all scared,High School / GED Equivalent,10+,"$80,001 - $120,000",Introvert,Yes
11/15/2020 20:41:11,47,Bisexual,Female,Female,,24,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,2 - 4,1 - 2 times,No,No,Yes,Somewhat scared,Decently scared,Master's Degree,6 - 10,"$50,001 - $80,000",Introvert,Yes
11/15/2020 20:42:21,41,Heterosexual,Female,Female,,19,Liberal,No,Decently concerned,"Marijuana, Psychedelics",Lessened,0,1 - 2 times,Yes,Yes,Yes,A little scared,A little scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,Maybe
11/15/2020 20:46:17,23,Bisexual,Female,Female,,22,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,10+,9 - 15 times,Yes,Yes,Yes,Decently scared,Decently scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,Yes
11/15/2020 20:47:31,19,pansexual,Female,Non-binary,,28,Liberal,No,Decently concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Abolished,7 - 10,3 - 8 times,Maybe,Yes,Yes,A little scared,A little scared,Bachelor's Degree (4 year),10+,"$10,001 - $30,000",Introvert,Yes
11/15/2020 20:48:25,85,Heterosexual,Female,Female,,22,Liberal,Maybe,Very concerned,Marijuana,Lessened,2 - 4,I have never had sex,No,No,No,A little scared,Decently scared,Bachelor's Degree (4 year),3 - 5,"$0 - $10,000",Introvert,No
11/15/2020 20:51:02,21,Heterosexual,Female,Female,,52,Liberal,Yes,Very concerned,"Marijuana, Psychedelics",Lessened,2 - 4,9 - 15 times,Yes,Yes,Yes,Not at all scared,Not at all scared,Master's Degree,10+,"$80,001 - $120,000",Introvert,No
11/15/2020 20:52:25,93,Bisexual,Female,Female,,23,Liberal,Yes,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Abolished,2 - 4,I have never had sex,No,No,No,Not at all scared,Not at all scared,Bachelor's Degree (4 year),3 - 5,"$10,001 - $30,000",Introvert,No
11/15/2020 20:54:02,28,Bisexual,Male,Male,,27,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,5 - 7,3 - 8 times,No,No,No,A little scared,Not at all scared,Bachelor's Degree (4 year),3 - 5,"$80,001 - $120,000",Introvert,Yes
11/15/2020 20:58:43,45,Heterosexual,Female,Female,,24,Liberal,No,Decently concerned,"Marijuana, Psychedelics",Lessened,2 - 4,1 - 2 times,No,No,No,A little scared,Decently scared,Bachelor's Degree (4 year),6 - 10,"$50,001 - $80,000",Introvert,No
11/15/2020 21:00:29,50,Heterosexual,Female,Female,,41,Liberal,No,Decently concerned,Marijuana,Lessened,1,1 - 2 times,No,No,No,Not at all scared,Not at all scared,Master's Degree,10+,"$80,001 - $120,000",Introvert,Yes
11/15/2020 21:01:25,47,Heterosexual,Female,Female,,41,Centrist,Yes,Very concerned,"Marijuana, Psychedelics",Left the way it is,1,1 - 2 times,No,No,No,Not at all scared,Not at all scared,Master's Degree,10+,"$30,001 - $50,000",Introvert,Maybe
11/15/2020 21:01:48,95,Asexual,Female,Non-binary,,30,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,0,I have never had sex,No,No,No,Not at all scared,Not at all scared,High School / GED Equivalent,0 (I have never lived apart from my parents),"$0 - $10,000",Introvert,Maybe
11/15/2020 21:03:24,25,Bisexual,Female,Female,,20,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,10+,1 - 2 times,Yes,Yes,Yes,A little scared,Not at all scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Extrovert,Maybe
11/15/2020 21:04:53,27,Heterosexual,Female,Female,,30,Libertarian,Yes,Somewhat concerned,"Marijuana, Psychedelics",Highly increased,1,3 - 8 times,Yes,Yes,No,Not at all scared,A little scared,2 Associates,6 - 10,"$50,001 - $80,000",Extrovert,No
11/15/2020 21:04:54,77,Heterosexual,Male,Male,,24,Centrist,No,Decently concerned,Marijuana,Lessened,7 - 10,I have never had sex,No,No,Yes,Not at all scared,Not at all scared,High School / GED Equivalent,3 - 5,"$10,001 - $30,000",Introvert,Maybe
11/15/2020 21:05:35,89,asexual,Male,"I don't ""identify"" with anything",,40,right-libertarian / anarcho-capitalist,No,Not at all concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,2 - 4,I have never had sex,Maybe,No,I don't know,Not at all scared,Not at all scared,High School / GED Equivalent,10+,"$50,001 - $80,000",Introvert,Maybe
11/15/2020 21:05:57,29,Bisexual,Female,Female,,36,Liberal,No,Decently concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,0,3 - 8 times,Yes,Yes,Yes,Not at all scared,Not at all scared,Doctoral Degree,10+,"$50,001 - $80,000",Introvert,Maybe
11/15/2020 21:06:22,97,Heterosexual,Female,Female,,18,Liberal,No,Very concerned,"Marijuana, Psychedelics",Lessened,0,I have never had sex,No,No,No,Not at all scared,Not at all scared,High School / GED Equivalent,0 (I have never lived apart from my parents),"$80,001 - $120,000",Introvert,Yes
11/15/2020 21:07:48,48,Bisexual,Male,Male,,20,Centrist,Maybe,Decently concerned,Marijuana,Lessened,10+,3 - 8 times,No,No,Yes,A little scared,Not at all scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,Yes
11/15/2020 21:08:09,97,Heterosexual,Male,Male,,19,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,1,I have never had sex,Maybe,No,No,Not at all scared,Not at all scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,No
11/15/2020 21:08:19,90,Questioning,Female,Female,,18,Liberal,Maybe,Decently concerned,"Marijuana, Psychedelics",Lessened,1,I have never had sex,No,No,No,Absolutely terrified,Absolutely terrified,Diploma,0 (I have never lived apart from my parents),"$0 - $10,000",Introvert,Yes
11/15/2020 21:09:37,57,Heterosexual,Male,Male,,30,Liberal,Yes,Very concerned,Marijuana,Lessened,2 - 4,3 - 8 times,No,No,No,Not at all scared,Decently scared,Master's Degree,10+,"$0 - $10,000",Introvert,Maybe
11/15/2020 21:11:44,37,Heterosexual,Male,Male,,25,Liberal,No,Decently concerned,Marijuana,Lessened,2 - 4,9 - 15 times,Yes,No,No,Not at all scared,Very scared,Bachelor's Degree (4 year),1 - 2,"$10,001 - $30,000",Extrovert,Maybe
11/15/2020 21:12:04,58,Bisexual,Male,Male,,19,Liberal,No,Very concerned,"Marijuana, Psychedelics",Lessened,2 - 4,3 - 8 times,No,Yes,No,Not at all scared,Not at all scared,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,No
11/15/2020 21:12:10,12,Heterosexual,Male,Male,,19,Centrist,No,Somewhat concerned,"Marijuana, Psychedelics",Increased,0,15 - 25 times,Yes,Yes,Yes,Not at all scared,Absolutely terrified,Bachelor's Degree (4 year),1 - 2,"$0 - $10,000",Introvert,Yes
11/15/2020 21:12:14,31,Heterosexual,Male,Male,,30,Liberal,No,Very concerned,"Marijuana, Psychedelics",Lessened,7 - 10,3 - 8 times,Maybe,Yes,I don't know,Somewhat scared,Decently scared,Bachelor's Degree (4 year),10+,"$80,001 - $120,000",Introvert,Yes
11/15/2020 21:13:11,22,Bisexual,Male,Male,,34,Liberal,No,Very concerned,"Marijuana, Psychedelics, Heroin & Other hard drugs",Lessened,2 - 4,1 - 2 times,Maybe,No,I don't know,Not at all scared,Not at all scared,Master's Degree,10+,"$80,001 - $120,000",Ambivert,Maybe
11/15/2020 21:17:16,31,Heterosexual,Female,Female,No,25,Left,No,Very concerned,"Marijuana, Psychedelics",Left the way it is,1,3 - 8 times,Maybe,No,Yes,A little scared,Very scared,Bachelor's Degree (4 year),3 - 5,"$30,001 - $50,000",Introvert,No
11/15/2020 21:17:31,27,Bisexual,Female,Female,No,26,Left,Yes,Very concerned,"Marijuana, Psychedelics",Abolished,2 - 4,"I have had sex, but not recently, or not frequent enough to be monthly",Maybe,No,Yes,Somewhat scared,A little scared,Bachelor's Degree (4 year),3 - 5,"$30,001 - $50,000",Ambivert,No
